LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
01200626,26,26,,Thomasiusstraße,Moabit,Mitte
11200411,26,16,10.0,Hauptstraße,Hohenschönhausen Süd,Lichtenberg
11300620,26,23,3.0,Fennpfuhl Ost,Lichtenberg Nord,Lichtenberg
12100204,26,22,4.0,Schäfersee,Reinickendorf Ost,Reinickendorf
03400722,26,25,1.0,Parkstraße,Südliches Pankow,Pankow
05300840,25,25,,Nonnendammallee,Haselhorst/Siemensstadt,Spandau
07501030,25,25,,Machonstraße,Mariendorf,Tempelhof-Schöneberg
08200727,25,25,,Parchimer Allee Süd,Britz/Bukow,Neukölln
12400722,25,25,,Hermsdorf West,Grüner Norden,Reinickendorf
03701657,25,21,4.0,Thälmannpark,Südlicher Prenzlauer Berg,Pankow
03400829,25,24,1.0,Arnold-Zweig-Straße,Südliches Pankow,Pankow
09300921,24,24,,Preußen Siedlung,Treptow-Köpenick 3,Treptow-Köpenick
11300618,24,24,,Storkower Bogen,Lichtenberg Nord,Lichtenberg
08200726,24,24,,Hufeisensiedlung,Britz/Bukow,Neukölln
01100205,24,23,1.0,Wilhelmstraße,Zentrum,Mitte
09200819,24,22,2.0,Köllnische Vorstadt,Treptow-Köpenick 2,Treptow-Köpenick
06400843,24,23,1.0,Thielallee,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
06100205,24,21,3.0,Südende,Steglitz,Steglitz-Zehlendorf
04300518,24,22,2.0,Kaiserin-Augusta-Allee,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
09200717,24,19,5.0,Dörpfeldstraße Ost,Treptow-Köpenick 2,Treptow-Köpenick
08100105,24,23,1.0,Silbersteinstraße,Neukölln,Neukölln
05100313,23,21,2.0,Eiswerder,Spandau Mitte/Nord,Spandau
11300724,23,22,1.0,Roedeliusplatz,Lichtenberg Nord,Lichtenberg
05200630,23,20,3.0,Wilhelmstadt West,Wilhelmstadt/Staaken,Spandau
09100407,23,22,1.0,Johannisthal West,Treptow-Köpenick 1,Treptow-Köpenick
08401243,22,22,,Alt-Rudow,Buckow Nord/Rudow,Neukölln
03300411,22,21,1.0,Karow Nord,Nördliches Weißensee,Pankow
07601546,22,22,,Franziusweg,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
05100314,22,20,2.0,Kurstraße,Spandau Mitte/Nord,Spandau
11300721,22,19,3.0,Herzbergstraße,Lichtenberg Nord,Lichtenberg
10200420,22,9,13.0,Gut Hellersdorf,Hellersdorf,Marzahn-Hellersdorf
09100409,22,22,,Landschaftspark Adlershof,Treptow-Köpenick 1,Treptow-Köpenick
10400938,22,22,,Mahlsdorf Nord,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
12200412,22,21,1.0,Waldidyll/Flughafensee,Tegel,Reinickendorf
07501134,22,19,3.0,Hundsteinweg,Mariendorf,Tempelhof-Schöneberg
04501146,22,21,1.0,Barstraße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
03601139,22,19,3.0,Norweger Viertel,Nördlicher Prenzlauer Berg,Pankow
12500926,22,18,4.0,Wittenau Süd,Wittenau/Borsigwalde,Reinickendorf
01200517,21,20,1.0,Huttenkiez,Moabit,Mitte
07501031,21,20,1.0,Eisenacher Straße,Mariendorf,Tempelhof-Schöneberg
08300934,21,20,1.0,Gropiusstadt Nord-West,Gropiusstadt,Neukölln
09301024,21,21,,Falkenberg,Treptow-Köpenick 3,Treptow-Köpenick
09100408,21,14,7.0,Johannisthal Ost,Treptow-Köpenick 1,Treptow-Köpenick
11401136,21,19,2.0,Volkradstraße,Lichtenberg Mitte,Lichtenberg
07501032,20,18,2.0,Imbrosweg,Mariendorf,Tempelhof-Schöneberg
11100309,20,12,8.0,Mühlengrund,Hohenschönhausen Nord,Lichtenberg
11100307,20,20,,Zingster Straße Ost,Hohenschönhausen Nord,Lichtenberg
04100101,20,15,5.0,Jungfernheide/Plötzensee,Charlottenburg Nord,Charlottenburg-Wilmersdorf
05300736,20,20,,Zitadellenweg,Haselhorst/Siemensstadt,Spandau
04200308,20,20,,Branitzer Platz,Charlottenburg West,Charlottenburg-Wilmersdorf
08401244,20,20,,Waßmannsdorfer Chaussee,Buckow Nord/Rudow,Neukölln
