BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
09A05;Treptow-Köpenick;A;Treptow-Kolleg;Kiefholzstr. 274;12437;Berlin;Kiefholzstr. 274 12437 Berlin;APL installiert;Ja;22.07.22;07.05.24;;Nein
09G01;Treptow-Köpenick;G;Bouché-Schule (Grundschule);Bouchestr. 5;12435;Berlin;Bouchestr. 5 12435 Berlin;Anschluss nutzbar;Ja;16.05.22;14.07.22;25.07.23;Ja
09G03;Treptow-Köpenick;G;Schule am Heidekampgraben (Grundschule);Hänselstr. 14;12437;Berlin;Hänselstr. 14 12437 Berlin;APL installiert;Ja;22.07.22;07.05.24;;Nein
09G04;Treptow-Köpenick;G;Sonnenblumen-Schule (Grundschule);Radenzer Str. 16;12437;Berlin;Radenzer Str. 16 12437 Berlin;Anschluss nutzbar;Ja;01.07.22;16.05.23;29.11.23;Ja
09G05;Treptow-Köpenick;G;Schule am Ginkobaum (Grundschule);Springbornstr. 250;12487;Berlin;Springbornstr. 250 12487 Berlin;Begehung durchgeführt;Ja;02.08.22;;;Nein
09G06;Treptow-Köpenick;G;Melli-Beese-Schule (Grundschule);Engelhardstr. 18;12487;Berlin;Engelhardstr. 18 12487 Berlin;Anschluss nutzbar;Ja;25.07.22;14.02.23;01.02.24;Ja
09G07;Treptow-Köpenick;G;Schule an der alten Feuerwache (Grundschule);Schnellerstr. 31;12439;Berlin;Schnellerstr. 31 12439 Berlin;Anschluss nutzbar;Ja;16.05.22;14.07.22;29.03.23;Ja
09G09;Treptow-Köpenick;G;Heide-Schule (Grundschule);Florian-Geyer-Str. 87;12489;Berlin;Florian-Geyer-Str. 87 12489 Berlin;Begehung durchgeführt;Ja;02.08.22;;;Nein
09G09b;Treptow-Köpenick;G;Heide-Schule (Grundschule);Waldstr. 7;12489;Berlin;Waldstr. 7 12489 Berlin;Aktive Technik verbaut ohne IHVK;Ja;02.08.22;15.02.23;12.01.24;Nein
09G10;Treptow-Köpenick;G;Schule am Berg (Grundschule);Köpenicker Str. 31;12524;Berlin;Köpenicker Str. 31 12524 Berlin;Anschluss nutzbar;Ja;01.07.22;28.11.22;29.11.23;Ja
10A04;Marzahn-Hellersdorf;A;Victor-Klemperer-Kolleg;Martha-Arendsee-Str. 15;12681;Berlin;Martha-Arendsee-Str. 15 12681 Berlin;Anschluss nutzbar;Ja;14.06.22;10.10.22;16.12.22;Ja
10G01;Marzahn-Hellersdorf;G;Paavo-Nurmi-Grundschule;Schorfheidestr. 42;12689;Berlin;Schorfheidestr. 42 12689 Berlin;Anschluss nutzbar;Ja;21.06.22;29.09.23;16.01.24;Ja
10G03;Marzahn-Hellersdorf;G;Selma-Lagerlöf-Grundschule;Wörlitzer Str. 31;12689;Berlin;Wörlitzer Str. 31 12689 Berlin;Anschluss nutzbar;Ja;02.08.22;29.09.23;22.11.23;Ja
10G04;Marzahn-Hellersdorf;G;Falken-Grundschule;Geraer Ring 2;12689;Berlin;Geraer Ring 2 12689 Berlin;Anschluss nutzbar;Ja;10.05.22;09.11.22;16.12.22;Ja
10G05;Marzahn-Hellersdorf;G;Ebereschen-Grundschule;Borkheider Str. 28;12689;Berlin;Borkheider Str. 28 12689 Berlin;Anschluss nutzbar;Ja;21.06.22;29.09.23;14.11.23;Ja
10G07;Marzahn-Hellersdorf;G;Karl-Friedrich-Friesen-Grundschule;Max-Herrmann-Str. 5;12687;Berlin;Max-Herrmann-Str. 5 12687 Berlin;Begehung durchgeführt;Ja;18.07.22;;;Nein
10G08;Marzahn-Hellersdorf;G;Wilhelm-Busch-Grundschule;Parsteiner Ring 24/46;12679;Berlin;Parsteiner Ring 24/46 12679 Berlin;Aktive Technik verbaut;Ja;14.06.22;29.09.23;02.11.23;Nein
