LAT,LON,Bezirk,Schule,Straße,PLZ,Ort,Adresse,Aktueller Status,Standort beauftragt?,"Begehung durgeführt am:
[Datum]","Tiefbau abgeschlossen am: 
[Datum]","Aktive Technik 
verbaut 
am: 
[Datum]","Anschluss nutzbar? 
[Ja / Nein]"
52.4424757,13.5519493,Treptow-Köpenick,Heide-Schule (Grundschule),Waldstr. 7,12489,Berlin,Waldstr. 7 12489 Berlin,Aktive Technik verbaut ohne IHVK,Ja,02.08.22,15.02.23,12.01.24,Nein
52.4186282,13.5378599,Treptow-Köpenick,Schule am Berg (Grundschule),Köpenicker Str. 31,12524,Berlin,Köpenicker Str. 31 12524 Berlin,Anschluss nutzbar,Ja,01.07.22,28.11.22,29.11.23,Ja
52.5366621,13.5387145,Marzahn-Hellersdorf,Victor-Klemperer-Kolleg,Martha-Arendsee-Str. 15,12681,Berlin,Martha-Arendsee-Str. 15 12681 Berlin,Anschluss nutzbar,Ja,14.06.22,10.10.22,16.12.22,Ja
52.5713199,13.5762928,Marzahn-Hellersdorf,Paavo-Nurmi-Grundschule,Schorfheidestr. 42,12689,Berlin,Schorfheidestr. 42 12689 Berlin,Anschluss nutzbar,Ja,21.06.22,29.09.23,16.01.24,Ja
52.567625,13.5694169,Marzahn-Hellersdorf,Selma-Lagerlöf-Grundschule,Wörlitzer Str. 31,12689,Berlin,Wörlitzer Str. 31 12689 Berlin,Anschluss nutzbar,Ja,02.08.22,29.09.23,22.11.23,Ja
52.5659445,13.5559595,Marzahn-Hellersdorf,Falken-Grundschule,Geraer Ring 2,12689,Berlin,Geraer Ring 2 12689 Berlin,Anschluss nutzbar,Ja,10.05.22,09.11.22,16.12.22,Ja
52.5635245,13.5717435,Marzahn-Hellersdorf,Ebereschen-Grundschule,Borkheider Str. 28,12689,Berlin,Borkheider Str. 28 12689 Berlin,Anschluss nutzbar,Ja,21.06.22,29.09.23,14.11.23,Ja
52.5531438,13.564028,Marzahn-Hellersdorf,Karl-Friedrich-Friesen-Grundschule,Max-Herrmann-Str. 5,12687,Berlin,Max-Herrmann-Str. 5 12687 Berlin,Begehung durchgeführt,Ja,18.07.22,,,Nein
52.5513164,13.5822782,Marzahn-Hellersdorf,Wilhelm-Busch-Grundschule,Parsteiner Ring 24/46,12679,Berlin,Parsteiner Ring 24/46 12679 Berlin,Aktive Technik verbaut,Ja,14.06.22,29.09.23,02.11.23,Nein
52.5508466,13.5652551,Marzahn-Hellersdorf,Grundschule am Bürgerpark,Jan-Petersen-Str. 18 B,12679,Berlin,Jan-Petersen-Str. 18 B 12679 Berlin,Begehung durchgeführt,Ja,14.06.22,,,Nein
52.5481706,13.5517122,Marzahn-Hellersdorf,Peter-Pan-Grundschule,Stolzenhagener Str. 9,12679,Berlin,Stolzenhagener Str. 9 12679 Berlin,Begehung durchgeführt,Ja,13.05.22,,,Nein
52.5396962,13.5658409,Marzahn-Hellersdorf,Grundschule an der Mühle,Kienbergstr. 59,12685,Berlin,Kienbergstr. 59 12685 Berlin,Anschluss nutzbar,Ja,14.06.22,13.03.23,16.08.23,Ja
52.5292385,13.4672025,Lichtenberg,Sonnenuhr-Schule (Grundschule),Franz-Jacob-Str. 33,10369,Berlin,Franz-Jacob-Str. 33 10369 Berlin,Anschluss nutzbar,Ja,26.08.22,24.11.23,16.02.24,Ja
52.5289103,13.4821749,Lichtenberg,Schule am Roederplatz (Grundschule),Bernhard-Bästlein-Str. 22,10367,Berlin,Bernhard-Bästlein-Str. 22 10367 Berlin,Begehung durchgeführt,Ja,08.08.22,,,Nein
52.5222016,13.4829858,Lichtenberg,Schule im Gutspark (Grundschule),Josef-Orlopp-Str. 20,10367,Berlin,Josef-Orlopp-Str. 20 10367 Berlin,Anschluss nutzbar,Ja,02.09.22,20.02.23,13.06.23,Ja
52.5169271,13.4950339,Lichtenberg,Schule auf dem lichten Berg (Grundschule),Atzpodienstr. 19,10365,Berlin,Atzpodienstr. 19 10365 Berlin,Begehung durchgeführt,Ja,11.05.22,,,Nein
52.5131336,13.4976178,Lichtenberg,Schule auf dem lichten Berg (Grundschule),Siegfriedstraße 208-210,10365,Berlin,Siegfriedstraße 208-210 10365 Berlin,Begehung durchgeführt,Ja,18.08.22,,,Nein
52.5110581,13.531403,Lichtenberg,Adam-Ries-Schule (Grundschule),Alt-Friedrichsfelde 66,10315,Berlin,Alt-Friedrichsfelde 66 10315 Berlin,Begehung durchgeführt,Ja,08.09.22,,,Nein
52.5096143,13.4857715,Lichtenberg,Hermann-Gmeiner-Schule (Grundschule),Harnackstr. 17,10365,Berlin,Harnackstr. 17 10365 Berlin,Aktive Technik verbaut,Ja,06.09.22,05.03.24,25.04.24,Nein
52.5095538,13.5016634,Lichtenberg,Robinson-Schule (Grundschule),Wönnichstr. 7,10317,Berlin,Wönnichstr. 7 10317 Berlin,Anschluss nutzbar,Ja,08.09.22,27.05.23,28.08.23,Ja
52.508118,13.5165164,Lichtenberg,Bürgermeister-Ziethen-Schule (Grundschule),Massower Str. 39,10315,Berlin,Massower Str. 39 10315 Berlin,Anschluss nutzbar,Ja,08.08.22,06.06.23,28.08.23,Ja
52.5643159,13.499924,Lichtenberg,Schule im Ostseekarree (Grundschule),Barther Str. 27,13051,Berlin,Barther Str. 27 13051 Berlin,Aktive Technik verbaut,Ja,02.09.22,19.09.23,11.10.23,Nein
52.5782731,13.2846728,Reinickendorf,Havelmüller-Grundschule,Namslaustr. 49-57,13507,Berlin,Namslaustr. 49-57 13507 Berlin,Begehung durchgeführt,Ja,17.08.22,,,Nein
52.5622247,13.3554275,Reinickendorf,Grundschule am Schäfersee,Baseler Str. 2-6,13407,Berlin,Baseler Str. 2-6 13407 Berlin,Anschluss nutzbar,Ja,03.08.22,13.09.23,26.01.24,Ja
52.5636024,13.3776905,Reinickendorf,Reginhard-Grundschule,Letteallee 39-41,13409,Berlin,Letteallee 39-41 13409 Berlin,Begehung durchgeführt,Ja,24.08.22,,,Nein
52.5738349,13.3430082,Reinickendorf,Till-Eulenspiegel-Grundschule,Humboldtstr. 8-13,13407,Berlin,Humboldtstr. 8-13 13407 Berlin,Aktive Technik in Planung,Ja,05.10.22,23.02.24,,Nein
52.5755105,13.3662743,Reinickendorf,Kolumbus-Grundschule,Büchsenweg 23 A,13409,Berlin,Büchsenweg 23 A 13409 Berlin,APL installiert,Ja,14.09.22,02.11.23,,Nein
52.5696602,13.3733572,Reinickendorf,Hausotter-Grundschule,Hausotterplatz 4,13409,Berlin,Hausotterplatz 4 13409 Berlin,Aktive Technik verbaut ohne IHVK,Ja,09.11.22,23.10.23,19.04.24,Nein
52.5694145,13.3264159,Reinickendorf,Mark-Twain-Grundschule,Auguste-Viktoria-Allee 95,13403,Berlin,Auguste-Viktoria-Allee 95 13403 Berlin,Aktive Technik in Planung,Ja,31.08.22,28.06.23,,Nein
52.5938923,13.3490579,Reinickendorf,Grundschule an der Peckwisch,Tornower Weg 26-34,13439,Berlin,Tornower Weg 26-34 13439 Berlin,Begehung durchgeführt,Ja,10.08.22,,,Nein
52.5867246,13.3296765,Reinickendorf,Peter-Witte-Grundschule,Rathauspromenade 75,13437,Berlin,Rathauspromenade 75 13437 Berlin,Anschluss nutzbar,Ja,17.08.22,12.07.23,22.01.24,Ja
